actor_id,movie_id
1,1
1,706
1,1888
1,3646
1,4081
1,4304
2,1
2,278
2,417
2,759
2,2027
2,2101
2,2853
3,1
3,598
3,1077
3,1158
3,1629
3,2191
4,2
4,13
4,134
4,188
4,248
4,252
4,307
4,308
4,365
4,851
4,2495
5,2
5,13
5,14
5,17
5,94
5,106
5,122
5,165
5,188
5,263
5,311
5,765
5,860
5,900
5,1186
5,1298
5,1376
5,1388
5,1562
5,1575
5,1681
5,1822
5,1868
5,2032
5,2091
5,2301
5,2359
5,2947
5,3057
5,3465
5,3592
5,3698
5,3983
5,4007
5,4052
5,4230
6,2
6,13
6,188
6,1153
6,2032
6,2546
7,3
7,12
7,2517
7,3377
8,3
8,125
8,237
8,270
8,549
8,1180
8,1289
8,1918
8,3050
9,3
10,4
10,38
10,58
10,108
10,263
10,297
10,728
10,789
10,796
10,856
10,1005
10,1132
10,1179
10,1629
10,1684
10,1964
10,2041
10,2231
10,2241
10,2527
10,2919
10,3073
10,3193
10,3268
10,3661
10,3771
10,4155
11,4
11,87
11,116
11,163
11,634
11,737
11,999
11,1886
11,1898
11,2362
11,3304
11,3451
11,4766
12,4
12,69
12,87
12,286
12,614
12,651
12,1078
12,1092
12,1290
12,1412
12,1432
12,1548
12,1901
12,2741
12,3253
12,3352
12,3410
12,3555
12,4528
13,5
14,5
16,6
16,2234
16,2651
16,3335
16,3458
16,3516
16,3576
16,3917
16,4071
17,6
17,1346
17,1750
17,3112
17,4429
18,6
18,1034
19,7
19,4242
20,7
20,209
20,227
20,306
20,791
20,1199
21,7
21,84
21,1325
21,1960
21,2398
21,4208
22,8
22,25
22,29
22,61
22,71
22,195
22,330
22,333
22,396
22,623
22,706
22,744
22,752
22,813
22,865
22,937
22,1193
22,1408
22,1631
22,2167
22,2223
22,2438
22,2618
22,2884
22,3157
22,3298
22,3361
22,4441
23,8
23,72
23,115
23,118
23,145
23,224
23,290
23,586
23,752
23,1316
23,1517
23,1586
23,2686
23,3417
24,8
24,25
24,71
24,76
24,695
24,752
24,754
24,764
24,904
24,1136
24,1179
24,1224
24,1535
24,1618
24,1732
24,1775
24,1974
24,2020
24,2022
24,2465
24,2562
24,2727
24,2862
24,3555
24,3557
24,3768
24,3787
25,9
25,102
25,103
25,178
25,185
25,261
25,346
25,2014
25,2349
25,2528
26,9
26,94
26,884
26,1038
26,1682
26,1899
26,2144
26,2441
26,3655
26,4007
27,9
27,103
27,178
27,182
27,189
27,261
27,3302
27,3708
28,10
28,3000
28,4568
29,10
29,15
29,509
29,515
29,571
29,1177
29,2232
30,10
31,11
31,593
31,797
31,1222
31,1505
31,1868
31,3350
31,4236
31,4516
32,11
32,912
32,933
32,964
32,1001
32,1047
32,1139
32,1180
32,1209
32,1347
32,1353
32,1357
32,1400
32,1423
32,1949
32,1959
32,2510
32,2795
32,2806
32,3475
32,3650
32,3904
33,11
33,317
33,568
33,715
33,1225
33,1298
33,1658
33,1881
33,2248
33,3086
33,3861
33,4074
33,4174
34,12
34,506
34,2699
34,2709
34,4333
35,12
35,705
35,2966
36,14
36,1368
36,1435
37,14
37,231
37,237
37,336
37,733
37,826
37,1384
37,1438
37,1448
37,1512
37,1761
37,1893
37,2042
37,2096
37,2130
37,2135
37,2221
37,2309
37,2362
37,2441
37,2607
37,2802
37,2862
37,2996
37,4259
37,4443
38,15
38,520
38,545
38,1152
38,3729
38,4011
39,15
39,732
39,1159
39,1748
39,2312
39,2670
39,2773
39,4091
39,4365
40,16
41,16
41,41
41,305
41,338
41,528
41,1474
41,1670
41,2204
41,2779
41,4179
41,4568
41,4608
41,4620
42,16
42,4238
43,17
43,72
43,224
43,2092
44,17
44,263
44,763
44,2644
44,3210
44,3461
44,4095
45,18
45,2345
45,2722
45,3380
46,18
46,63
46,65
46,104
46,105
46,138
46,173
46,180
46,249
46,251
46,319
46,373
46,483
46,633
46,745
46,799
46,808
46,848
46,1405
46,1968
47,18
48,19
48,22
48,88
49,19
49,22
49,88
49,759
50,19
50,22
50,88
50,645
50,3523
50,3894
50,3932
50,4659
51,20
51,34
51,1144
51,1420
51,1637
51,2623
51,3205
52,20
52,34
52,221
52,908
52,950
52,1800
52,1841
52,1965
52,2325
52,2383
52,2539
52,2611
52,3274
53,20
53,1888
54,21
54,160
54,339
54,436
54,540
54,758
54,1161
54,1492
54,1605
54,1742
54,2162
54,2514
54,2570
54,2970
54,3609
54,4077
55,21
55,442
55,775
55,1429
55,1549
55,1638
55,3137
55,4443
56,21
56,1711
57,23
57,239
57,651
57,2794
57,2837
58,23
58,62
58,106
58,122
58,216
58,217
58,248
58,308
58,936
58,1490
58,1575
58,2707
58,3116
58,3367
58,4213
59,23
59,400
59,652
59,695
59,1356
59,2322
59,2344
59,2655
59,2706
59,3157
59,3712
59,3724
59,4235
60,24
60,132
60,234
60,372
60,377
60,855
60,964
60,1064
60,1472
60,1822
60,1918
60,2135
60,2198
60,2345
60,2360
60,2441
60,2700
60,2721
60,2955
60,3056
60,3558
60,3657
61,24
61,87
61,163
61,235
61,270
61,279
61,280
61,296
61,328
61,414
61,602
61,866
61,944
61,1064
61,1362
61,1391
61,1494
61,1983
61,2654
61,2947
61,3360
62,24
63,25
63,76
63,156
63,203
63,1259
63,1269
63,1364
63,1871
63,2137
63,2183
63,2537
63,3092
63,4189
64,26
64,125
64,1695
64,1844
64,1905
64,3160
64,3453
64,4165
65,26
65,108
65,121
65,220
65,252
65,296
65,354
65,427
65,596
65,913
65,966
65,1006
65,1026
65,1046
65,1213
65,1419
65,1561
65,1705
65,1762
65,1796
65,1799
65,1824
65,1899
65,2287
65,2548
65,2646
65,2776
65,2787
65,2944
65,3090
65,3746
65,3861
66,26
66,2361
67,27
67,74
67,78
67,169
67,540
67,611
67,851
67,950
67,984
67,998
67,1456
67,1540
67,1559
67,1619
67,1687
67,2336
67,2424
67,3075
67,3977
67,4022
67,4228
67,4277
67,4348
67,4477
68,27
68,38
68,540
68,556
68,1800
68,2658
68,3017
68,3253
68,4791
69,27
69,1124
69,2201
70,28
70,146
70,313
70,477
70,691
70,755
70,769
70,803
70,970
70,1121
70,1231
70,1480
70,1661
70,1764
70,1987
70,2024
70,2124
70,2339
70,2605
70,3067
70,3092
70,3346
70,3620
70,3911
70,4457
