genre_id,movie_id
8,6864
13,6864
25,6864
6,11549
8,11549
8,15624
20,15624
25,15624
8,17136
21,17136
6,18737
8,18737
20,18737
16,19729
20,19729
8,20960
25,20960
8,22879
20,22879
25,22879
5,24034
16,24034
20,24034
5,24548
8,24548
13,24548
16,24548
20,24548
5,25316
20,25316
5,27125
16,27125
20,27125
1,27438
2,27438
20,27438
25,27438
5,27977
8,27977
9,27977
2,29442
8,29442
20,29442
3,29583
9,29583
10,29583
16,29583
8,29852
16,29852
20,29852
5,30993
8,30993
20,30993
8,31381
13,31381
20,31381
25,31381
5,31679
8,31679
2,32138
9,32138
10,32138
16,32138
8,32264
9,32264
10,32264
2,32273
8,32273
20,32273
26,32273
3,32455
9,32455
10,32455
15,32455
3,32910
9,32910
10,32910
16,32910
8,32976
11,32976
17,32976
24,32976
8,33729
9,33729
3,34492
8,34492
9,34492
8,34583
20,34583
25,34583
5,35423
10,35423
20,35423
8,35959
10,35959
20,35959
25,35959
5,36628
16,36628
8,36868
20,36868
25,36868
8,37884
11,37884
11,38109
17,38109
20,38109
24,38109
16,38116
20,38116
8,38213
8,38499
20,38499
26,38499
8,38650
9,38650
10,38650
20,38650
8,39416
20,39416
2,39927
8,39927
20,39927
6,40525
8,40525
11,40525
17,40525
24,40525
6,40671
8,40671
2,40694
5,40694
16,40694
20,40694
1,40724
2,40724
20,40724
26,40724
1,41841
8,41841
20,41841
25,41841
26,41866
5,42114
9,42114
4,42200
5,42200
16,42200
20,42200
26,42200
4,43949
8,43949
13,43949
20,43949
8,44030
9,44030
16,44030
20,44030
8,44081
6,44533
8,44533
11,44533
8,44672
9,44672
20,44672
24,44706
26,44706
5,45152
16,45152
20,45152
2,45546
14,45546
21,45546
8,45793
20,45793
25,45793
6,46126
11,46126
24,46126
8,46247
13,46247
2,46672
8,46672
9,46672
10,46672
21,46672
8,46949
13,46949
6,47296
8,47296
20,47296
1,47478
2,47478
8,47478
8,48452
10,48452
5,48750
17,48750
20,48750
8,49452
20,49452
26,49452
2,49513
8,49513
8,49875
20,49875
6,50083
8,50083
2,50212
8,50212
25,50212
8,51459
20,51459
14,52646
21,52646
8,53131
8,53290
13,53290
20,53290
25,53290
5,53291
15,53291
20,53291
5,53604
8,53604
20,53604
8,53793
14,54215
17,54215
24,54215
8,54997
23,54997
8,55031
25,55031
8,55184
20,55184
26,55184
5,55312
8,55312
6,55614
8,55614
16,55614
20,55614
24,55614
5,55689
25,55689
1,55928
2,55928
24,55928
2,56172
4,56172
8,56172
13,56172
25,56172
6,56193
8,56193
20,56193
1,56197
8,56197
13,56197
25,56197
8,56217
26,56217
6,56592
8,56592
1,56800
2,56800
8,56800
13,56800
25,56800
4,56937
8,56937
13,56937
20,56937
2,57007
5,57007
20,57007
5,57012
1,57076
2,57076
24,57076
2,57115
8,57115
13,57115
24,57115
25,57115
8,57163
1,57193
2,57193
5,57193
6,57193
2,57590
5,57590
13,57590
5,57733
9,57733
10,57733
8,58085
13,58085
25,58085
1,58150
2,58150
24,58150
5,58182
16,58182
5,58331
9,58331
10,58331
16,58331
8,58385
9,58385
16,58385
20,58385
8,58414
20,58414
1,58461
8,58461
26,58461
8,58701
3,59026
5,59026
9,59026
8,59113
20,59113
25,59113
4,59245
8,59245
13,59245
2,59418
25,59418
26,59418
6,59592
8,59592
20,59592
4,59742
8,59742
9,59742
16,59742
20,59742
1,59800
2,59800
24,59800
24,59825
25,59825
2,60153
5,60153
9,60153
26,60196
5,60438
16,60438
1,60490
6,60490
8,60490
17,60490
24,60490
4,60665
8,60665
13,60665
8,60816
24,61107
26,61747
4,61809
6,61809
8,61809
13,61809
6,62138
24,62138
14,62235
17,62235
1,62512
2,62512
24,62512
2,62622
17,62622
21,62622
2,62711
5,62711
10,62711
21,62711
8,62794
20,62794
21,62794
8,63350
14,63350
17,63350
8,63385
9,63385
16,63385
8,63522
14,63522
26,63592
5,63829
9,63829
4,64115
6,64115
8,64115
26,64115
26,64116
8,64665
1,64757
2,64757
24,64757
5,64782
8,64782
16,64782
20,64782
26,64782
6,64990
8,64990
20,64990
5,65054
8,65054
15,65054
16,65054
20,65054
8,65112
24,65112
1,65214
2,65214
26,65214
5,65446
8,65446
20,65446
26,65446
1,65462
2,65462
21,65462
5,65466
8,65466
15,65466
5,65528
8,65528
25,65528
8,65571
1,65579
5,65579
5,65611
8,65611
16,65611
20,65611
25,65611
6,65895
8,65895
24,65895
8,66090
13,66090
6,66141
14,66141
24,66141
4,66206
8,66206
25,66206
1,66473
8,66473
13,66473
25,66473
1,66549
8,66549
13,66549
25,66549
7,66580
13,66580
15,66580
21,66769
24,66769
5,66808
1,66995
2,66995
24,66995
1,67065
21,67065
8,67093
9,67093
16,67093
20,67093
1,67116
6,67116
8,67116
24,67116
8,67580
10,67580
8,67756
21,67756
6,67810
8,67810
24,67810
9,67992
10,67992
16,67992
5,68098
8,68098
25,68098
1,68135
6,68135
8,68135
17,68135
8,68156
9,68156
13,68156
16,68156
1,68408
21,68408
5,68555
24,68611
6,68646
8,68646
17,68699
26,68699
5,69089
6,69089
14,69089
8,69293
17,69293
21,69293
8,69467
5,69704
8,69704
15,69704
1,69768
21,69768
14,70047
1,70328
2,70328
24,70328
6,70379
8,70379
20,70379
24,70379
4,70518
8,70518
20,70518
26,70518
5,70707
21,70707
5,70735
6,70735
8,70735
2,71206
9,71206
20,71206
5,71230
26,71230
8,71360
17,71360
24,71360
5,71524
8,71524
20,71524
6,71562
8,71562
1,71807
2,71807
24,71807
2,71853
5,71853
10,71853
5,72081
6,72081
17,72081
14,72271
24,72271
5,72431
14,72626
2,72684
8,72684
13,72684
25,72684
1,72856
5,72856
21,72856
23,72856
2,73195
8,73195
24,73195
8,73486
5,74174
8,74174
9,74174
23,74174
10,74486
14,74486
21,74486
5,74512
24,74512
1,74812
2,74812
21,74812
8,74958
20,74958
10,75005
14,75005
17,75005
2,75147
8,75147
20,75147
8,75148
23,75148
5,75222
20,75222
6,75314
8,75314
5,75686
20,75686
8,75784
13,75784
25,75784
8,75860
21,75860
21,75909
14,76009
5,76141
2,76175
8,76175
20,76175
25,76175
8,76245
5,76257
14,76271
21,76271
8,76451
15,76451
16,76451
20,76451
2,76740
8,76740
24,76740
1,76752
2,76752
21,76752
24,76752
1,76759
2,76759
10,76759
21,76759
8,77269
24,77269
1,77294
21,77294
24,77294
1,77296
2,77296
13,77296
8,77405
20,77405
8,77416
25,77416
8,77531
1,77572
8,77572
25,77572
16,77631
20,77631
14,77651
24,77651
2,77766
14,77766
24,77766
7,77838
15,77838
5,77975
1,78346
2,78346
8,78346
20,78346
21,78346
2,78504
9,78504
10,78504
15,78504
16,78504
1,78723
5,78723
25,78723
14,78748
21,78748
5,78754
8,78754
15,78754
16,78754
8,78788
25,78788
1,78869
21,78869
2,78872
9,78872
23,78872
4,79116
6,79116
8,79116
2,79240
6,79240
8,79240
24,79240
1,79501
2,79501
21,79501
24,79501
1,79550
8,79550
21,79550
24,79550
1,79574
2,79574
21,79574
24,79574
2,79588
5,79588
9,79588
16,79588
6,79709
8,79709
23,79709
14,79758
21,79758
8,79826
15,79826
20,79826
2,79945
17,79945
21,79945
5,80339
2,80453
8,80453
20,80453
1,80455
5,80455
6,80455
15,80455
5,80487
23,80487
4,80492
5,80492
16,80492
4,80549
8,80549
15,80549
16,80549
17,80661
20,80661
24,80661
4,80678
8,80678
1,80684
2,80684
10,80684
21,80684
1,80745
2,80745
21,80745
10,80749
14,80749
5,80771
21,80771
2,80855
8,80855
26,80855
4,81059
8,81059
13,81059
25,81059
26,81071
8,81283
8,81291
5,81375
25,81375
4,81398
8,81398
23,81398
1,81400
2,81400
8,81400
24,81400
8,81505
14,81505
8,81534
10,81534
20,81534
1,81573
2,81573
20,81573
21,81573
2,81633
5,81633
10,81633
21,81633
17,82085
24,82085
2,82096
8,82096
24,82096
25,82096
6,82122
8,82122
4,82158
8,82158
23,82158
2,82198
10,82198
1,82288
2,82288
10,82288
14,82307
1,82340
21,82340
1,82398
2,82398
24,82398
5,82405
8,82405
14,82418
17,82418
24,82418
14,82467
17,82467
2,82484
8,82484
13,82484
5,82507
21,82507
2,82509
3,82509
10,82509
14,82509
21,82509
5,82517
14,82533
1,82648
2,82648
26,82648
1,82694
2,82694
21,82694
24,82694
5,82763
10,82763
21,82763
4,82766
8,82766
1,82817
6,82817
24,82817
6,82934
8,82934
20,82934
24,82934
2,82958
6,82958
24,82958
1,82971
2,82971
4,82979
8,82979
13,82979
20,82979
2,83001
14,83001
24,83001
2,83113
17,83113
24,83113
1,83131
5,83131
25,83131
5,83254
1,83630
2,83630
10,83630
5,83642
16,83642
21,83658
24,83658
10,83722
14,83722
24,83722
1,83739
6,83739
8,83739
24,83739
5,83767
10,83767
14,83767
5,83833
8,83833
9,83866
21,83866
10,83907
14,83907
5,83929
8,83929
1,83943
2,83943
24,83943
1,83944
2,83944
8,83944
14,83972
24,83972
4,83987
8,83987
13,83987
8,84132
13,84132
25,84132
5,84171
15,84171
21,84171
2,84296
8,84296
9,84296
20,84296
26,84296
1,84316
21,84316
10,84516
14,84516
5,84522
1,84726
2,84726
21,84726
14,84787
17,84787
21,84787
5,84805
8,84805
20,84805
8,84855
1,84967
2,84967
6,84967
5,85334
9,85334
14,85407
21,85407
24,85407
8,85549
15,85549
20,85549
5,85575
8,85575
20,85575
14,85636
17,85636
21,85636
1,85811
2,85811
10,85811
1,85862
6,85862
8,85862
24,85862
26,85862
5,85868
8,85868
9,85868
8,85871
20,85871
2,85995
5,85995
1,86006
2,86006
24,86006
1,86034
2,86034
24,86034
6,86066
8,86066
1,86190
2,86190
10,86190
21,86190
2,86197
8,86197
13,86197
6,86250
8,86250
1,86393
5,86393
21,86393
5,86465
10,86491
14,86491
21,86491
14,86541
17,86541
21,86541
24,86541
21,86567
24,86567
2,86582
8,86582
8,86619
16,86619
20,86619
1,86759
6,86759
8,86759
17,86759
24,86759
4,86879
8,86879
13,86879
15,86879
1,86960
5,86960
6,86960
17,86984
24,86984
1,86993
2,86993
8,86993
13,86993
20,86993
14,87015
21,87015
1,87078
2,87078
10,87078
6,87089
8,87089
15,87089
1,87130
21,87130
1,87182
2,87182
21,87182
1,87262
14,87262
21,87262
24,87262
8,87277
15,87277
20,87277
14,87298
24,87298
5,87363
10,87363
14,87363
5,87428
8,87428
20,87428
1,87451
2,87451
5,87451
20,87451
21,87451
1,87469
2,87469
1,87538
8,87538
9,87538
23,87538
14,87800
6,87843
8,87843
2,87892
8,87892
13,87892
5,87928
1,87985
8,87985
25,87985
5,87995
6,87995
21,87995
24,87995
2,88103
10,88103
5,88161
10,88161
20,88161
1,88170
2,88170
21,88170
1,88247
21,88247
2,88323
8,88323
9,88323
10,88323
8,88727
9,88727
2,88763
5,88763
21,88763
8,88846
21,88846
8,88939
1,88944
2,88944
24,88944
14,88993
14,89173
17,89173
24,89173
1,89348
24,89348
5,89444
8,89444
15,89444
2,89457
5,89457
8,89457
10,89457
1,89461
5,89461
8,89461
15,89461
1,89489
14,89489
21,89489
24,89489
1,89530
2,89530
21,89530
24,89530
10,89686
14,89686
4,89755
8,89755
20,89755
26,89767
1,89880
2,89880
24,89880
25,89880
1,89893
2,89893
10,89893
5,89907
14,89907
21,89907
2,89908
9,89908
10,89908
14,89908
17,89908
1,90022
6,90022
8,90022
26,90022
5,90095
8,90095
24,90095
1,90190
5,90190
14,90190
21,90190
1,90264
2,90264
24,90264
14,90327
17,90327
24,90327
6,90329
8,90329
20,90329
24,90329
2,90357
10,90357
17,90357
24,90357
2,90555
5,90555
1,90605
2,90605
21,90605
14,90655
17,90655
1,90728
2,90728
5,90728
10,90728
2,90848
8,90848
10,90848
8,90863
23,90863
14,91080
24,91080
1,91129
2,91129
5,91129
10,91129
17,91129
1,91203
2,91203
10,91203
1,91225
2,91225
5,91225
20,91225
21,91225
14,91276
21,91276
5,91396
6,91396
20,91396
5,91419
14,91419
16,91419
21,91419
5,91578
8,91578
20,91578
8,91635
20,91635
1,91671
8,91671
14,91671
24,91671
5,91738
8,91738
10,91738
20,91738
8,91763
25,91763
6,91860
8,91860
8,91867
20,91867
8,91886
13,91886
24,91886
25,91886
2,91934
6,91934
8,91934
20,91934
5,91939
20,91939
2,92005
8,92005
2,92007
5,92007
21,92007
5,92076
14,92076
1,92099
8,92099
20,92099
1,92240
14,92240
20,92240
21,92240
24,92240
8,92325
20,92325
8,92337
1,92493
2,92493
5,92493
1,92548
8,92548
2,92615
10,92615
1,92644
5,92644
6,92644
24,92644
1,92675
4,92675
8,92675
23,92675
2,92695
3,92695
5,92695
9,92695
10,92695
16,92695
5,92796
10,92796
14,92796
24,92796
4,92804
8,92804
13,92804
5,92991
10,92991
14,92991
24,92991
8,93010
20,93010
24,93010
4,93105
5,93105
8,93105
25,93105
10,93177
14,93177
5,93200
1,93278
2,93278
5,93278
15,93278
24,93278
2,93300
14,93300
24,93300
4,93378
8,93378
15,93378
4,93389
8,93389
13,93389
1,93428
2,93428
24,93428
5,93437
10,93437
14,93437
1,93483
8,93483
24,93483
8,93512
20,93512
1,93629
10,93629
14,93629
24,93629
1,93773
14,93773
21,93773
2,93779
9,93779
10,93779
20,93779
5,93818
1,93894
6,93894
21,93894
24,93894
2,94012
5,94012
21,94012
1,94074
2,94074
9,94074
21,94074
5,94118
10,94118
5,94137
8,94137
9,94137
6,94226
8,94226
24,94226
6,94291
8,94291
6,94484
8,94484
17,94484
1,94612
5,94612
6,94612
24,94612
1,94625
3,94625
21,94625
5,94721
10,94721
5,94737
8,94737
9,94737
10,94737
20,94737
1,94764
21,94764
23,94764
8,94799
10,94862
14,94862
8,94947
20,94947
1,95016
24,95016
14,95179
14,95271
24,95271
2,95354
6,95354
8,95354
10,95484
14,95484
17,95484
24,95484
2,95489
3,95489
9,95489
8,95497
1,95631
5,95631
6,95631
24,95631
5,95687
20,95687
21,95687
5,95690
8,95690
20,95690
10,95742
14,95742
24,95742
1,95863
10,95863
14,95863
21,95863
24,95863
14,95889
24,95889
6,95904
8,95904
14,95904
24,95904
8,95953
1,95956
2,95956
24,95956
25,95956
5,96054
8,96054
16,96054
5,96061
8,96061
10,96061
8,96219
14,96256
21,96256
24,96256
5,96320
6,96320
1,96487
6,96487
8,96487
24,96487
26,96487
2,96754
8,96754
21,96754
24,96754
2,96874
5,96874
21,96874
1,96895
2,96895
2,96928
5,96928
15,96928
21,96928
1,96933
6,96933
24,96933
4,96969
8,96969
25,96969
5,97165
8,97165
8,97216
5,97239
8,97239
9,97239
2,97388
14,97388
8,97441
13,97441
25,97441
14,97474
24,97474
1,97499
4,97499
8,97499
13,97499
20,97499
25,97499
1,97576
2,97576
10,97576
1,97742
2,97742
24,97742
5,97815
23,97815
5,97965
8,97965
20,97965
10,97981
14,97981
20,97981
24,97981
10,98084
14,98084
1,98206
24,98206
7,98213
6,98273
8,98273
17,98273
24,98273
1,98382
2,98382
21,98382
24,98382
1,98439
5,98439
6,98439
24,98439
1,98503
5,98503
14,98503
21,98503
2,98519
5,98519
5,98546
8,98546
1,98622
10,98622
14,98622
24,98622
5,98625
6,98625
5,98635
8,98635
20,98635
8,98724
5,98948
8,98948
1,98987
2,98987
5,98987
6,98987
15,98987
17,98987
5,99052
10,99052
14,99052
24,99052
2,99088
5,99088
21,99088
26,99088
10,99253
14,99253
2,99348
8,99348
26,99348
1,99371
8,99371
23,99371
1,99422
5,99422
6,99422
15,99422
20,99422
24,99422
1,99423
24,99423
10,99487
20,99487
8,99582
14,99582
21,99582
24,99582
1,99587
8,99587
24,99587
25,99587
8,99653
10,99653
20,99653
24,99653
6,99674
8,99674
4,99685
6,99685
8,99685
5,99700
10,99700
14,99700
5,99785
9,99785
1,99810
2,99810
24,99810
2,99816
9,99816
1,99938
5,99938
6,99938
5,100142
8,100142
20,100142
14,100146
8,100168
15,100168
20,100168
1,100403
14,100403
21,100403
5,100405
20,100405
2,100666
5,100666
21,100666
1,100802
21,100802
5,100814
14,100814
21,100814
14,100827
5,101272
10,101272
1,101412
2,101412
10,101412
21,101412
2,101452
5,101452
10,101452
15,101452
21,101452
6,101507
8,101507
6,101540
24,101540
4,101761
8,101761
15,101761
16,101761
1,101764
6,101764
5,101889
8,101889
10,101889
5,101917
10,101917
14,101917
24,101917
1,102005
6,102005
8,102005
24,102005
26,102005
2,102057
5,102057
9,102057
10,102057
5,102065
8,102065
15,102065
20,102065
1,102070
2,102070
5,102070
8,102138
13,102138
24,102138
6,102307
8,102307
5,102492
8,102492
9,102492
20,102492
8,102494
5,102510
6,102510
8,102713
20,102713
1,102744
2,102744
8,102744
20,102744
26,102744
2,102782
8,102782
20,102782
1,102798
2,102798
8,102798
20,102798
1,102915
5,102915
6,102915
24,102915
6,102926
8,102926
14,102926
24,102926
5,102943
8,102943
1,102975
2,102975
21,102975
24,102975
1,102984
6,102984
8,102984
24,102984
6,102989
8,102989
1,103060
2,103060
5,103060
9,103060
21,103060
1,103064
21,103064
2,103247
8,103247
2,103639
3,103639
5,103639
9,103639
10,103639
16,103639
20,103639
1,103644
14,103644
21,103644
1,103776
1,103855
8,103855
15,103855
20,103855
5,103859
8,103859
20,103859
10,103874
14,103874
20,103874
6,104036
8,104036
20,104036
24,104036
5,104070
10,104070
14,104070
1,104215
8,104257
24,104257
6,104348
8,104348
17,104348
4,104427
6,104427
8,104427
2,104431
5,104431
9,104431
8,104454
20,104454
5,104567
15,104567
20,104567
1,104691
2,104691
8,104691
20,104691
25,104691
14,104692
21,104692
5,104694
8,104694
23,104694
1,104714
6,104714
24,104714
4,104797
8,104797
13,104797
20,104797
1,104815
6,104815
8,104815
20,104815
24,104815
2,104839
8,104839
20,104839
5,104850
20,104850
21,104850
24,104850
5,104868
8,104868
9,104868
23,104868
5,104940
8,104940
9,104940
10,104940
16,104940
5,104952
6,104952
1,105112
24,105112
8,105211
6,105217
8,105217
24,105217
6,105236
8,105236
24,105236
1,105459
6,105459
14,105459
21,105459
24,105459
8,105695
26,105695
5,105793
15,105793
2,106223
5,106223
8,106223
9,106223
8,106226
20,106226
2,106233
5,106233
23,106233
2,106246
4,106246
8,106246
24,106246
5,106308
10,106308
14,106308
6,106469
8,106469
1,106582
2,106582
24,106582
2,106611
5,106611
9,106611
23,106611
5,106677
5,106792
14,106792
8,106918
17,106918
24,106918
1,106950
6,106950
21,106950
24,106950
1,106977
2,106977
6,106977
8,106977
17,106977
24,106977
8,107007
13,107007
25,107007
5,107048
10,107048
20,107048
8,107079
24,107079
5,107120
9,107120
10,107120
10,107254
14,107254
24,107254
2,107290
21,107290
24,107290
1,107362
2,107362
5,107362
10,107362
8,107474
6,107554
8,107554
24,107554
5,107614
8,107614
9,107614
20,107614
5,107616
8,107616
20,107616
1,107659
5,107659
6,107659
1,107711
6,107711
8,107711
20,107711
24,107711
9,107719
10,107719
15,107719
1,107750
8,107750
6,107798
8,107798
17,107798
24,107798
8,107818
8,107822
15,107822
20,107822
8,107840
20,107840
8,107943
20,107943
14,107953
20,107953
21,107953
1,107978
6,107978
21,107978
24,107978
1,107983
6,107983
8,107983
24,107983
8,108000
20,108000
4,108052
8,108052
13,108052
4,108101
8,108101
20,108101
2,108255
5,108255
9,108255
10,108255
21,108255
1,108308
2,108308
5,108308
9,108308
10,108308
21,108308
5,108320
8,108320
1,108358
4,108358
8,108358
13,108358
20,108358
26,108358
1,108399
6,108399
8,108399
20,108399
24,108399
5,108500
10,108500
21,108500
10,108517
14,108517
8,108550
20,108550
4,108551
8,108551
15,108551
6,108967
8,108967
17,108967
1,109015
5,109015
9,109015
5,109040
2,109190
5,109190
6,109190
8,109190
9,109190
1,109254
5,109254
6,109254
24,109254
6,109266
8,109266
5,109348
6,109348
1,109444
